route,anomaly_type,record_count
HYD → MAA,INVALID_FLIGHT_ID,21
MAA → BLR,INVALID_FLIGHT_ID,20
BOM → CCU,INVALID_FLIGHT_ID,19
DEL → HYD,INVALID_FLIGHT_ID,18
BLR → BOM,INVALID_FLIGHT_ID,16
CCU → DEL,INVALID_FLIGHT_ID,16
HYD → DEL,INVALID_FLIGHT_ID,13
BOM → DEL,INVALID_FLIGHT_ID,10
HYD → BOM,INVALID_FLIGHT_ID,10
DEL → BLR,INVALID_FLIGHT_ID,10
CCU → BOM,INVALID_FLIGHT_ID,9
BOM → MAA,INVALID_FLIGHT_ID,8
MAA → DEL,INVALID_FLIGHT_ID,8
CCU → HYD,INVALID_FLIGHT_ID,7
BOM → BLR,INVALID_FLIGHT_ID,7
MAA → CCU,INVALID_FLIGHT_ID,7
MAA → BOM,INVALID_FLIGHT_ID,7
CCU → BLR,INVALID_FLIGHT_ID,7
DEL → BOM,INVALID_FLIGHT_ID,7
BLR → MAA,INVALID_FLIGHT_ID,6
CCU → MAA,INVALID_FLIGHT_ID,6
DEL → MAA,INVALID_FLIGHT_ID,6
BLR → CCU,INVALID_FLIGHT_ID,5
HYD → BLR,INVALID_FLIGHT_ID,5
DEL → CCU,INVALID_FLIGHT_ID,5
BOM → HYD,INVALID_FLIGHT_ID,5
BLR → HYD,INVALID_FLIGHT_ID,4
BLR → DEL,INVALID_FLIGHT_ID,4
MAA → HYD,INVALID_FLIGHT_ID,4
HYD → CCU,INVALID_FLIGHT_ID,3
HYD → BOM,NEGATIVE_DURATION,1
