flight_id,airline,source,destination,departure_time,arrival_time,duration,flight_id_valid,departure_datetime,arrival_datetime,calculated_duration_minutes,calculated_duration_hours,is_overnight,source_duration_minutes,duration_difference_minutes,duration_match,route,anomaly_type
SJ010,SPICEJET,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,02:54:00,True,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,2.9,True,174.0,0.0,True,CCU → MAA,NONE
AI155,AIR INDIA,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,01:48:00,True,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,1.8,True,108.0,0.0,True,BOM → CCU,NONE
UK094,VISTARA,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,01:45:00,True,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,1.75,True,105.0,0.0,True,BOM → CCU,NONE
AI245,AIR INDIA,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,02:36:00,True,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,2.6,True,156.0,0.0,True,BOM → CCU,NONE
AI192,AIR INDIA,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,04:59:00,True,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,4.98,True,299.0,0.0,True,MAA → BOM,NONE
SJ158,SPICEJET,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,02:19:00,True,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,2.32,True,139.0,0.0,True,DEL → HYD,NONE
6F196,INDIGO,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,01:43:00,False,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,1.72,True,103.0,0.0,True,CCU → MAA,INVALID_FLIGHT_ID
AI080,AIR INDIA,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,01:32:00,True,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,1.53,True,92.0,0.0,True,BOM → HYD,NONE
6F025,INDIGO,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,00:55:00,False,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,0.92,False,55.0,0.0,True,BLR → BOM,INVALID_FLIGHT_ID
6F251,UNKNOWN,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,00:41:00,False,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,0.68,False,41.0,0.0,True,DEL → BLR,INVALID_FLIGHT_ID
AI137,AIR INDIA,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,02:28:00,True,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,2.47,True,148.0,0.0,True,BOM → DEL,NONE
6F026,INDIGO,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,04:27:00,False,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,4.45,True,267.0,0.0,True,BOM → CCU,INVALID_FLIGHT_ID
UK167,VISTARA,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,03:01:00,True,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,3.02,True,181.0,0.0,True,DEL → MAA,NONE
UK027,VISTARA,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,02:21:00,True,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,2.35,True,141.0,0.0,True,BOM → CCU,NONE
AI069,UNKNOWN,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,03:46:00,True,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,3.77,True,226.0,0.0,True,DEL → BOM,NONE
AI058,AIR INDIA,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,01:38:00,True,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,1.63,True,98.0,0.0,True,BOM → CCU,NONE
AI140,AIR INDIA,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,03:43:00,True,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,3.72,True,223.0,0.0,True,BOM → DEL,NONE
SJ239,SPICEJET,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,01:46:00,True,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,1.77,True,106.0,0.0,True,BOM → CCU,NONE
6F099,INDIGO,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,00:35:00,False,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,0.58,False,35.0,0.0,True,MAA → DEL,INVALID_FLIGHT_ID
AI048,AIR INDIA,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,03:52:00,True,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,3.87,True,232.0,0.0,True,CCU → DEL,NONE
SJ112,SPICEJET,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,02:20:00,True,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,2.33,True,140.0,0.0,True,HYD → DEL,NONE
6F164,INDIGO,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,02:27:00,False,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,2.45,True,147.0,0.0,True,BLR → BOM,INVALID_FLIGHT_ID
UK021,VISTARA,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,01:50:00,True,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,1.83,False,110.0,0.0,True,HYD → MAA,NONE
SJ172,SPICEJET,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,03:16:00,True,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,3.27,True,196.0,0.0,True,CCU → DEL,NONE
AI060,AIR INDIA,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,01:53:00,True,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,1.88,False,113.0,0.0,True,DEL → HYD,NONE
SJ205,SPICEJET,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,01:04:00,True,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,1.07,False,64.0,0.0,True,HYD → CCU,NONE
SJ093,SPICEJET,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,01:06:00,True,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,1.1,False,66.0,0.0,True,BLR → BOM,NONE
6F195,INDIGO,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,00:55:00,False,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,0.92,False,55.0,0.0,True,CCU → DEL,INVALID_FLIGHT_ID
UK003,UNKNOWN,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,04:38:00,True,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,4.63,True,278.0,0.0,True,HYD → DEL,NONE
UK026,VISTARA,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,02:06:00,True,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,2.1,False,126.0,0.0,True,HYD → MAA,NONE
6F174,INDIGO,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,00:40:00,False,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,0.67,False,40.0,0.0,True,DEL → HYD,INVALID_FLIGHT_ID
UK067,VISTARA,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,03:26:00,True,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,3.43,True,206.0,0.0,True,BOM → CCU,NONE
